probe_id,gene_symbol
1040880,SLC17A6
1066109,SV2C
1055725,HDC
1015247,LRRC37A4P
1015879,VAV3
1048367,CARTPT
1046860,PPARGC1A
1017936,ADAD2
1017098,KLK5
1017497,TMEM132C
1014218,WDR97
1047082,TNFSF13B
1058066,COL10A1
1031962,RSPO2
1042005,SLC29A3
1018252,NT5DC2
1023314,FXN
1033162,NT5DC1
1063906,LINC00484
1059164,AIRE
1035507,LRRC39
1034308,CMTM8
1042462,C1orf109
1058384,CDH12
1059907,HDAC9
1046704,SLC27A3
1033509,LIPH
1016934,CTXN3
1047047,POLD3
1033893,KANK4
1049564,TCAP
1028003,ARHGAP28
1035012,MAGEE2
1062385,SOAT1
1050282,ZIC1
1048125,TSC22D2
1054175,MGP
1048549,ATG5
1054868,KCNA1
1026773,SOCS5
1026906,PRDM10
1051878,RS1
1051175,SPR
1020348,TLK1
1017081,CKAP2
1018660,LOC285074
1040635,AHRR
1013182,SETD6
1046580,HIBADH
1016708,ZNF428
1036448,GCNA
1031901,STAC2
1047607,JMJD8
1034565,CAPN12
1047359,SLC25A17
1059387,ADCY9
1036540,CENPBD1
1033007,CNOT6L
1016906,SETMAR
1010331,CLCN5
1036268,SLC22A9
1023345,NCOA3
1025463,UBE2H
1040451,ZNF317
1047923,TANK
1017482,LMAN2L
1020291,IPW
1016679,ZNF503
1016045,INTS9
1012293,ZBTB40
1015780,GPAT2
1044734,GPR160
1026521,CSMD3
1038997,ECHDC3
1014574,CELF2
1038514,WNT10A
1020780,POLR2J4
1052829,PPAT
1017696,PPM1M
1039094,FASTKD1
1030213,JADE1
1036510,TEX30
1011503,VLDLR-AS1
1045370,ZNF318
1011093,PIP5K1A
1052937,PRRX1
1012216,NRG1
1053958,MYBPC2
1037009,TRIM4
1019159,SLC7A6OS
1033974,ZFP1
1046687,LIAS
1010972,ACSF3
1020371,SYDE2
1053109,PHKA2
1049507,CDK13
1027150,MGAT4B
1038684,ATF7IP2
1065832,PANTR1
1040366,ZNF410
1036637,OXNAD1
1019688,ZNF672
1044831,AGO1
1020514,GCNT1
1024791,ABHD12B
1015817,SKAP1
1050772,MGA
1020710,SAP30L
1042196,MRM3
1031969,TSPAN33
1055910,GRP
1025376,DGKA
1016635,GOLGA8IP
1037679,UTP23
1015346,AHI1
1010814,ANKRD19P
1046374,KLF12
1035258,SCLT1
1044286,TBK1
1050361,CORO2A
1054460,EPCAM
1042393,HERC6
1041591,MBD5
1036303,SDSL
1020763,ACVR1C
1025515,PDGFB
1035736,DCUN1D3
1041077,DUSP22
1066402,LINC00958
1041780,TASP1
1013849,LOC729732
1037864,ENKD1
1012694,PLEKHA5
1062289,RASSF8-AS1
1025304,GRK4
1035566,NR2C2AP
1018915,LOC202181
1044143,SERTAD1
1016103,PYM1
1044602,NAAA
1036848,SHF
1029876,SS18L1
1023404,ASIC4
1055100,IL1B
1029960,RRAGB
1028998,SRRD
1021293,ZNF565
1055030,IL13RA2
1040149,BCORL1
1027082,XRCC4
1020121,JDP2
1067377,STX10
1010756,PTPN3
1049030,PIAS2
1050246,ZNF26
1045904,RHOBTB2
1068786,BHLHE40
1035237,ARL9
1042626,LRRC49
1030267,DRD2
1034819,KBTBD3
1045466,LY96
1010883,TRAF3IP1
1041368,TMEM234
1019315,FAM86EP
1062586,GASAL1
1020962,CEP83
1025267,MLLT10
1040668,DSCAML1
1068780,LOC105373383
1034587,ZNF524
1032326,DPH3
1050140,ZNF223
1031898,ZNF677
1015803,LRCOL1
1028385,MUC4
1054196,MET
1031390,INKA1
1044553,SESN1
1026496,DMAC2L
1021686,CAST
1028758,ASGR2
1022264,ACOT9
1018902,LRFN1
1025835,ILK
1043894,DERL2
1052724,PRKAA2
1037944,RASSF4
1025900,ESRRG
1054121,NR3C2
1020784,SYT2
1041582,TXLNG
1040515,TSHZ3
1015352,SYNC
1045390,IFIT5
1018864,C4orf33
1036732,PCED1B
1052652,MAP2K3
1051863,RYK
1023814,SIPA1L3
1040510,SHROOM3
1017935,TCTN3
1017902,LINC01102
1011940,TP53I11
1054144,MAP3K9
1052488,PTGER4
1036734,COL23A1
1026575,PMEPA1
1018328,EGFEM1P
1036810,CEP95
1036237,ESCO1
1010747,FGD3
1047281,P3H3
1041300,ANKH
1034774,WDR66
1016653,CDC7
1030669,KLF10
1049021,CLDN12
1041677,IPO9
1048791,CACNA2D2
1058882,BBS1
1012047,SMIM24
1031604,FAM89A
1042345,SUSD4
1045585,SLC16A8
1013661,NR2F2
1027252,POLR2C
1019092,EXOC3-AS1
1013130,TBC1D8
1063341,MAP3K13
1053929,MYH7
1052265,RBMS1
1044330,CCDC59
1016230,PPP1R18
1012683,RP9P
1019967,ANKRD62
1041618,TMEM184C
1014771,PWWP2A
1018036,MIR497HG
1054675,KRT31
1011490,ZCCHC18
1031759,NMNAT3
1036112,IQCD
1016572,ZDBF2
1059292,AK2
1057075,BPTF
1048185,HDAC4
1049699,INO80E
1016688,PPP2R2D
1042956,SLC38A2
1038689,PGAP1
1050702,TNFRSF1A
1058598,CAMK4
1043582,TMEM216
1027666,CASP3
1025858,ATG16L1
1025063,OSBPL6
1055481,HPS1
1056491,GBE1
1048950,P2RX6
1030234,CALN1
1050111,DNALI1
1066022,GUCY1A2
1031444,CCDC103
1024841,SPTB
1013185,PACRGL
1056199,GPX3
1031929,SYT10
1052927,PNMT
1027417,ARID5A
1022570,SCN1A
1032410,RIMKLA
1053765,NEFH
1055573,HNRNPL
1029999,WDR31
1045735,ZFPM2
1015722,MROH7
1057405,ECM1
1029505,SLC22A7
1059240,ALPL
1017121,TMEM223
1034168,FBXO16
1022606,PLB1
1027148,PCDH7
1037995,TBC1D10A
1021934,DNAJC28
1041948,SLC35C1
1050335,WNT2B
1033646,PLAC4
1026277,NLE1
1057556,DPYS
1031242,PERM1
1039940,SEMA4A
1018487,ADM5
1046987,KDM5B
1063274,LOC654780
1021246,CEP63
1021103,TMEM145
1035801,TEX26
1017653,LOC102724156
1016130,FSTL5
1020801,
1025003,GRM7
1028356,LYPD5
1037203,WDR73
1029059,FRAS1
1033154,BEND6
1044674,RPUSD2
1054993,INPP5A
1050425,UTRN
1041561,DCP1A
1010560,NFYC
1023804,ABHD11
1018220,CCDC137
1046804,SRSF8
1053357,PRKN
1017132,SIGLEC11
1020229,UBTF
1055231,ICA1
1023335,FGL1
1017071,ZBED5
1040103,CHTF18
1039973,IFIH1
1019498,FAM86HP
1031612,SVBP
1020930,ST3GAL5
1021392,CRTC3
1033180,EEF1AKMT1
1049040,PSTPIP1
1027920,TP53I3
1041267,GPCPD1
1047579,TRAIP
1043833,FAM135B
1038700,FBXL18
1013515,MAGI3
1024307,ACAN
1013686,ILF3-DT
1058841,BDKRB2
1019835,CCNYL1
1065370,ENTPD4
1045173,ZNF385A
1052676,PRKCQ
1032615,IGSF22
1042278,XKR8
1034128,AK8
1038576,TARS2
1019481,STRN
1047681,KLRG1
1025947,PLAC9
1064721,MAPK8
1051063,ELOVL4
1010672,CBX5
1031041,PMS2P1
1025231,CLEC16A
1053308,PCP4
1035355,SGPP2
1047902,MED16
1057177,ESRRA
1046063,CLUAP1
1054515,LRP1
1033068,HS3ST5
1010615,LINC00476
1034007,TMEM229B
1049182,MTMR2
1044984,NOC2L
1042821,MAGEL2
1051794,SCN4B
1029105,UBE2W
1041408,LIN37
1054658,KRT83
1037970,KCTD10
1050127,ZNF236
1036388,CAVIN3
1042812,ING3
1043182,ASB2
1052944,PMM2
1053568,SLC11A2
1038490,REEP4
1030246,DACH1
1016351,CHAC1
1019880,CD164
1051680,SFRP1
1012769,ELK1
1015631,LINC02716
1058519,CCNF
1024013,RSPO4
1015874,BUD13
1051060,STIM1
1036938,UBE3D
1053210,PDYN
1039414,SECISBP2
1031533,KCTD4
1010647,MYOZ3
1018054,SUSD5
1046236,NLGN1
1057612,DLST
1039928,HERPUD2
1052394,PYGL
1018249,LIMD2
1016876,FAM184A
1051595,SIX3
1034022,PPTC7
1036200,C1QTNF2
1038313,COL21A1
1016027,ANKRD20A11P
1052516,PSMD10
1055430,HSPA6
1049767,HYAL3
1023401,CENPW
1027244,ARHGAP25
1010709,ALKBH2
1047242,OLFM4
1057722,BRINP1
1044198,FAM216A
1027614,NAA16
1058346,CDS1
1021342,CORO6
1051636,SH3BGRL
1047276,GLRX3
1035761,C15orf40
1039975,XYLT2
1018495,PACRG
1015460,SMCHD1
1039812,GIGYF1
1032154,RAB37
1036808,ANGEL2
1069048,CCDC68
1042718,TRIM44
1047615,RAMP3
1051314,SNAI2
1017264,GXYLT2
1058823,BLM
1022642,RIC1
1035351,UBR3
1037907,EMILIN2
1021322,SNHG1
1037211,MEDAG
1046931,CPLX1
1063839,ZNF284
1010779,ALG3
1030587,KNDC1
1024092,ASTN2
1033554,CYP4Z1
1015578,DND1
1041738,TMEM127
1014848,DZANK1
1042299,WDR70
1010711,RNF216P1
1034310,SPICE1
1034635,TMC8
1049082,MPZL1
1041960,SHFL
1043644,TACO1
1034642,PROCA1
