rank,entrez_id
1,57084
2,22987
3,3067
4,10673
5,163782
6,340390
7,161931
8,326
9,10451
10,9607
11,6247
12,55315
13,100507055
14,340419
15,92293
16,221294
17,1300
18,401491
19,1010
20,100129347
21,147968
22,9734
23,6646
24,613212
25,8557
26,139599
27,54955
28,342667
29,1184
30,55756
31,56980
32,84144
33,7545
34,100506451
35,10714
36,115
37,114571
38,10659
39,79960
40,11000
41,10891
42,127495
43,79675
44,4606
45,8394
46,54806
47,89122
48,100506421
49,3736
50,8631
51,10478
52,122953
53,25818
54,3653
55,23269
56,150763
57,202181
58,26523
59,126382
60,51134
61,113675
62,54839
63,132321
64,56937
65,90525
66,80036
67,123879
68,132320
69,5471
70,4256
71,132160
72,84294
73,3084
74,5396
75,152185
76,92106
77,11019
78,80326
79,83937
80,340348
81,80063
82,79612
83,5937
84,26146
85,6710
86,64943
87,7518
88,114788
89,79685
90,7766
91,93081
92,143879
93,23643
94,3611
95,151195
96,11278
97,26996
98,27109
99,8028
100,29950
101,3598
102,342850
103,4072
104,79746
105,158067
106,55008
107,1606
108,4293
109,5606
110,401472
111,150568
112,8553
113,23221
114,2922
115,54477
116,79894
117,57616
118,644192
119,152189
120,93556
121,55073
122,55184
123,26586
124,105373383
125,114880
126,23597
127,283899
128,284339
129,6330
130,3191
131,138649
132,64218
133,130367
134,729732
135,55515
136,831
137,79064
138,55054
139,57453
140,4233
141,2878
142,80055
143,58486
144,4744
145,7574
146,10562
147,26039
148,10864
149,9127
150,27010
151,56063
152,24138
153,3382
154,90799
155,101059953
156,57619
157,654780
158,92241
159,1813
160,23468
161,55802
162,56261
163,284716
164,10929
165,375061
166,8869
167,132946
168,3553
169,57683
170,57622
171,83451
172,836
173,10325
174,170954
175,89846
176,246175
177,55844
178,81493
179,249
180,127833
181,114825
182,10010
183,348926
184,27079
185,5734
186,7464
187,5409
188,389119
189,8677
190,2977
191,54407
192,29097
193,204
194,5099
195,80254
196,6323
197,5774
198,285074
199,9175
200,80183
201,114132
202,23094
203,54675
204,55751
205,2002
206,7026
207,391267
208,2101
209,100506755
210,56884
211,56172
212,130399
213,9759
214,401237
215,9537
216,55617
217,57693
218,260425
219,51009
220,144406
221,56902
222,93953
223,11167
224,51059
225,161145
226,55823
227,91977
228,5432
229,90025
230,1893
231,2104
232,284348
233,11112
234,814
235,84858
236,222537
237,2917
238,5071
239,402055
240,3748
241,7802
242,84250
243,27433
244,100506305
245,84923
246,55787
247,4802
248,339230
249,112464
250,9254
251,160760
252,5155
253,8224
254,64132
255,441212
256,8317
257,27244
258,54765
259,4585
260,6451
261,25886
262,29110
263,3889
264,199800
265,54551
266,3881
267,9482
268,54556
269,83743
270,55100
271,3310
272,90806
273,23414
274,101060091
275,144110
276,79048
277,56052
278,55915
279,10815
280,80323
281,84940
282,91523
283,55284
284,5121
285,8898
286,150864
287,102724156
288,5373
289,1767
290,221336
291,25946
292,158763
293,84811
294,5836
295,22955
296,7776
297,147138
