probe_id,rank000,rank001,mean,entrez_id,gene_symbol,rank
1040880,2,0,1.0,57084,SLC17A6,1
1066109,3,2,2.5,22987,SV2C,2
1055725,7,5,6.0,3067,HDC,3
1015247,14,13,13.5,55073,LRRC37A4P,4
1015879,12,18,15.0,10451,VAV3,5
1048367,27,4,15.5,9607,CARTPT,6
1046860,25,16,20.5,10891,PPARGC1A,7
1017936,26,22,24.0,161931,ADAD2,8
1017098,1,51,26.0,25818,KLK5,9
1017497,30,34,32.0,92293,TMEM132C,10
1014218,18,52,35.0,340390,WDR97,11
1047082,60,14,37.0,10673,TNFSF13B,12
1058066,65,28,46.5,1300,COL10A1,13
1031962,84,9,46.5,340419,RSPO2,14
1042005,34,72,53.0,55315,SLC29A3,15
1018252,55,69,62.0,64943,NT5DC2,16
1023314,52,86,69.0,2395,FXN,17
1033162,93,46,69.5,221294,NT5DC1,18
1063906,44,96,70.0,100129347,LINC00484,19
1059164,0,147,73.5,326,AIRE,20
1035507,71,90,80.5,127495,LRRC39,21
1034308,103,78,90.5,152189,CMTM8,22
1042462,108,73,90.5,54955,C1orf109,23
1058384,63,123,93.0,1010,CDH12,24
1059907,145,62,103.5,9734,HDAC9,25
1046704,75,133,104.0,11000,SLC27A3,26
1033509,45,165,105.0,200879,LIPH,27
1016934,133,101,117.0,613212,CTXN3,28
1047047,96,139,117.5,10714,POLD3,29
1033893,194,43,118.5,163782,KANK4,30
1049564,85,155,120.0,8557,TCAP,31
1028003,229,24,126.5,79822,ARHGAP28,32
1035012,116,137,126.5,139599,MAGEE2,33
1062385,118,140,129.0,6646,SOAT1,34
1050282,15,245,130.0,7545,ZIC1,35
1048125,50,215,132.5,9819,TSC22D2,36
1054175,8,257,132.5,4256,MGP,37
1048549,160,105,132.5,9474,ATG5,38
1054868,101,166,133.5,3736,KCNA1,39
1026773,146,122,134.0,9655,SOCS5,40
1026906,91,178,134.5,56980,PRDM10,41
1051878,19,255,137.0,6247,RS1,42
1051175,94,181,137.5,6697,SPR,43
1020348,164,121,142.5,9874,TLK1,44
1017081,70,219,144.5,26586,CKAP2,45
1018660,175,115,145.0,285074,LOC285074,46
1040635,231,66,148.5,57491,AHRR,47
1013182,106,192,149.0,79918,SETD6,48
1046580,158,153,155.5,11112,HIBADH,49
1016708,212,106,159.0,126299,ZNF428,50
1036448,121,202,161.5,93953,GCNA,51
1031901,329,1,165.0,342667,STAC2,52
1047607,113,224,168.5,339123,JMJD8,53
1034565,181,159,170.0,147968,CAPN12,54
1047359,188,152,170.0,10478,SLC25A17,55
1059387,180,168,174.0,115,ADCY9,56
1036540,152,210,181.0,92806,CENPBD1,57
1033007,148,220,184.0,246175,CNOT6L,58
1016906,234,136,185.0,6419,SETMAR,59
1010331,354,27,190.5,1184,CLCN5,60
1036268,334,48,191.0,114571,SLC22A9,61
1023345,83,301,192.0,8202,NCOA3,62
1025463,171,218,194.5,7328,UBE2H,63
1040451,196,194,195.0,57693,ZNF317,64
1047923,115,277,196.0,10010,TANK,65
1017482,193,206,199.5,81562,LMAN2L,66
1020291,129,281,205.0,3653,IPW,67
1016679,141,270,205.5,84858,ZNF503,68
1016045,200,217,208.5,55756,INTS9,69
1012293,159,262,210.5,9923,ZBTB40,70
1015780,177,244,210.5,150763,GPAT2,71
1044734,328,94,211.0,26996,GPR160,72
1026521,191,232,211.5,114788,CSMD3,73
1038997,184,253,218.5,79746,ECHDC3,74
1014574,199,243,221.0,10659,CELF2,75
1038514,403,47,225.0,80326,WNT10A,76
1020780,40,422,231.0,84820,POLR2J4,77
1052829,222,247,234.5,5471,PPAT,78
1017696,29,442,235.5,132160,PPM1M,79
1039094,291,188,239.5,79675,FASTKD1,80
1030213,230,254,242.0,79960,JADE1,81
1036510,290,195,242.5,93081,TEX30,82
1011503,35,450,242.5,401491,VLDLR-AS1,83
1045370,140,347,243.5,24149,ZNF318,84
1011093,263,237,250.0,8394,PIP5K1A,85
1052937,373,127,250.0,5396,PRRX1,86
1012216,23,478,250.5,3084,NRG1,87
1053958,28,484,256.0,4606,MYBPC2,88
1037009,279,235,257.0,89122,TRIM4,89
1019159,166,354,260.0,84138,SLC7A6OS,90
1033974,119,402,260.5,162239,ZFP1,91
1046687,285,240,262.5,11019,LIAS,92
1010972,241,284,262.5,197322,ACSF3,93
1020371,466,64,265.0,84144,SYDE2,94
1053109,237,297,267.0,5256,PHKA2,95
1049507,227,311,269.0,8621,CDK13,96
1027150,344,200,272.0,11282,MGAT4B,97
1038684,252,302,277.0,80063,ATF7IP2,98
1065832,295,268,281.5,100506421,PANTR1,99
1040366,257,310,283.5,57862,ZNF410,100
1036637,261,307,284.0,92106,OXNAD1,101
1019688,341,231,286.0,79894,ZNF672,102
1044831,206,377,291.5,26523,AGO1,103
1020514,104,479,291.5,2650,GCNT1,104
